snippet,intent
"aifc.setmark(id, pos, name)","Add a mark with the given `id` ( larger than 0 ) , and the given `name` at the given position . With arguments `pos`."
HTMLParser.handle_decl(decl),This method is called to handle an HTML doctype declaration ( e.g . The `decl` parameter will be the entire contents of the declaration inside the < ! ... > markup ( e.g .
"bytes.maketrans(from, to)",This static method returns a translation table usable for bytes.translate ( ) that will map each character in `from` into the character at the same position in `to` ; from and to must both be bytes-like objects and have the same length .
"deque.index(x, start, stop)",Return the position of `x` in the deque ( at or after index `start` and before index `stop` ) .
"unittest.mock.patch(target, **kwargs, create=False)","patch ( ) acts as a function decorator , class decorator or a context manager . Inside the body of the function or with statement , the `target` is patched with a `new` object . `new_callable` allows you to specify a different class , or callable object , that will be called to `create` the new object . With arguments `**kwargs`."
globals(),Return a dictionary representing the current global symbol table .
XMLReader.setLocale(locale),Allow an application to set the `locale` for errors and warnings .
doc_test_runner.run(test),"Run the examples in `test` ( a DocTest object ) , and display the results using the writer function `out` ."
"bz2_decompressor.decompress(data, max_length=-1)","Decompress `data` ( a bytes-like object ) , returning uncompressed data as bytes . If `max_length` is nonnegative , returns at most max_length bytes of decompressed data ."
"cab.append(full, file, logical)","Add the `file` with the pathname `full` to the CAB file , under the name `logical` ."
dataclasses.field(metadata=None),"For common and simple use cases , no other functionality is required . With arguments `metadata`."
"calendar.prcal(year, w=0, c=6)","Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`, `c`."
"hmac.digest(key, msg, digest)",Return `digest` of `msg` for given secret `key` and digest .
loop.run_until_complete(future),Run until the `future` ( an instance of Future ) has completed .
True,The true value of the bool type.
"glob.glob(pathname, recursive=False)","Return a possibly-empty list of path names that match `pathname` , which must be a string containing a path specification . If `recursive` is true , the pattern “ ** ” will match any files and zero or more directories , subdirectories and symbolic links to directories ."
xmlrpc.client.MultiCall(server),Create an object used to boxcar method calls . `server` is the eventual target of the call .
socket.gethostbyname(hostname),Translate a host name to IPv4 address format . With arguments `hostname`.
"zlib.compressobj(level=-1, method=DEFLATED)","Returns a compression object , to be used for compressing data streams that won ’ t fit into memory at once . `level` is the compression level – an integer from 0 to 9 or -1 . `method` is the compression algorithm ."
"zlib.compressobj(level=-1, strategy=Z_DEFAULT_STRATEGY)","Returns a compression object , to be used for compressing data streams that won ’ t fit into memory at once . `level` is the compression level – an integer from 0 to 9 or -1 . `strategy` is used to tune the compression algorithm ."
"turtle.ontimer(fun, t=0)",Install a timer that calls `fun` after `t` milliseconds .
POP3.user(username),"Send user command , response should indicate that a password is required . With arguments `username`."
datetime.timedelta(minutes=0),All arguments are optional and default to 0 . With arguments `minutes`.
"xml.sax.saxutils.escape(data, entities={})","Escape ' & ' , ' < ' , and ' > ' in a string of `data` . You can escape other strings of data by passing a dictionary as the optional `entities` parameter ."
"gzip.open(filename, compresslevel=9)","Open a gzip-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . The `compresslevel` argument is an integer from 0 to 9 , as for the GzipFile constructor ."
"urllib.request.urlretrieve(url, filename=None, data=None)","Copy a network object denoted by a URL to a local file . If the `url` uses the http : scheme identifier , the optional `data` argument may be given to specify a POST request ( normally the request type is GET ) . If the URL points to a local file , the object will not be copied unless `filename` is supplied ."
POP3.utf8(),Try to switch to UTF-8 mode .
"dataclasses.make_dataclass(cls_name, fields, init=True)","Creates a new dataclass with name `cls_name` , `fields` as defined in fields , base classes as given in `bases` , and initialized with a `namespace` as given in namespace . The values of `init` , `repr` , `eq` , `order` , `unsafe_hash` , and `frozen` have the same meaning as they do in dataclass ( ) ."
"lzma.open(filename, format=None)","Open an LZMA-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be either an actual file name ( given as a str , bytes or path-like object ) , in which case the named file is opened , or it can be an existing file object to read from or write to . When opening a file for reading , the `format` and `filters` arguments have the same meanings as for LZMADecompressor ."
"mailbox.mbox(path, create=True)","A subclass of Mailbox for mailboxes in mbox format . If `create` is True , the mailbox is created if it does not exist . With arguments `path`."
"range(start, stop)","Rather than being a function , range is actually an immutable sequence type , as documented in Ranges and Sequence Types — list , tuple , range . With arguments `start`, `stop`."
False,The false value of the bool type.
"ssl.match_hostname(cert, hostname)",Verify that `cert` ( in decoded format as returned by SSLSocket.getpeercert ( ) ) matches the given `hostname` .
"deque.index(x, start)",Return the position of `x` in the deque ( at or after index `start` and before index `stop` ) .
array.tofile(f),Write all items ( as machine values ) to the file object `f` .
header.__str__(),"Returns an approximation of the Header as a string , using an unlimited line length ."
"email.utils.formataddr(pair, charset='utf-8')","The inverse of parseaddr ( ) , this takes a 2-tuple of the form ( realname , email_address ) and returns the string value suitable for a To or Cc header . If the first element of `pair` is false , then the second element is returned unmodified . Optional `charset` is the character set that will be used in the RFC 2047 encoding of the realname if the realname contains non-ASCII characters ."
"bdb.Breakpoint(self, file, line, temporary=0)","This class implements `temporary` breakpoints , ignore counts , disabling and ( re- ) enabling , and conditionals . Breakpoints are indexed by number through a list called bpbynumber and by ( `file` , `line` ) pairs through bplist . With arguments `self`."
bdb.canonic(filename),"Auxiliary method for getting a `filename` in a canonical form , that is , as a case-normalized ( on case-insensitive filesystems ) absolute path , stripped of surrounding angle brackets ."
globals(),Return a dictionary representing the current global symbol table .
frozenset(),"Return a new frozenset object , optionally with elements taken from `iterable` ."
resource_reader.open_resource(resource),"Returns an opened , file-like object for binary reading of the `resource` ."
"xml.etree.ElementTree.SubElement(parent, tag, **extra)",Subelement factory . `parent` is the parent element . `tag` is the subelement name . With arguments `**extra`.
turtle.RawTurtle(canvas),Create a turtle . With arguments `canvas`.
"tree_builder.doctype(name, pubid, system)",Handles a doctype declaration . `name` is the doctype name . `pubid` is the public identifier . `system` is the system identifier .
datetime.__format__(format),Same as datetime.strftime ( ) . This makes it possible to specify a `format` string for a datetime object in formatted string literals and when using str.format ( ) .
"timeit.timeit(stmt='pass', timer=<default timer>)","Create a Timer instance with the given statement , `setup` code and `timer` function and run its timeit ( ) method with `number` executions . With arguments `stmt`."
bdb.dispatch_line(frame),"If the debugger should stop on the current line , invoke the user_line ( ) method ( which should be overridden in subclasses ) . With arguments `frame`."
"io.BufferedRWPair(reader, writer)","A buffered I/O object combining two unidirectional RawIOBase objects – one readable , the other writeable – into a single bidirectional endpoint . `reader` and `writer` are RawIOBase objects that are readable and writeable respectively ."
x not in s,Test x for non-membership in s.
"hmac.digest(key, msg, digest)",Return `digest` of `msg` for given secret `key` and digest .
os.get_exec_path(env=None),"Returns the list of directories that will be searched for a named executable , similar to a shell , when launching a process . `env` , when specified , should be an environment variable dictionary to lookup the PATH in ."
CookieJar.add_cookie_header(request),Add correct Cookie header to `request` .
"multiprocessing.Process(group=None, name=None)",Process objects represent activity that is run in a separate process . `group` should always be None ; it exists solely for compatibility with threading.Thread . `name` is the process name ( see name for more details ) .
"gettext.find(domain, all=False)","This function implements the standard .mo file search algorithm . It takes a `domain` , identical to what textdomain ( ) takes . If `all` is given , it returns a list of all file names , in the order in which they appear in the languages list or the environment variables ."
logging.captureWarnings(capture),This function is used to turn the `capture` of warnings by logging on and off .
bytes(),"Return a new “ bytes ” object , which is an immutable sequence of integers in the range 0 < = x < 256. bytes is an immutable version of bytearray – it has the same non-mutating methods and the same indexing and slicing behavior ."
contextlib.closing(thing),Return a context manager that closes `thing` upon completion of the block .
"xml.etree.ElementTree.Element(tag, **extra, attrib={})","Element class . `tag` is the element name . `attrib` is an optional dictionary , containing element attributes . With arguments `**extra`."
format(value),"Convert a `value` to a “ formatted ” representation , as controlled by `format_spec` ."
content_disposition_header.content-disposition,inline and attachment are the only valid values in common use.
"ArgumentParser.add_argument(name or flags..., action, nargs, const, default, type, choices)","Define how a single command-line argument should be parsed . With arguments `name or flags...`, `action`, `nargs`, `const`, `default`, `type`, `choices`."
"ContentHandler.startElement(name, attrs)",Signals the start of an element in non-namespace mode . The `name` parameter contains the raw XML 1.0 name of the element type as a string and the `attrs` parameter holds an object of the Attributes interface ( see The Attributes Interface ) containing the attributes of the element .
"cgitb.enable(display=1, context=5)",This function causes the cgitb module to take over the interpreter ’ s default handling for exceptions by setting the value of sys.excepthook . The optional argument `display` defaults to 1 and can be set to 0 to suppress sending the traceback to the browser . The optional argument `context` is the number of lines of context to display around the current line of source code in the traceback ; this defaults to 5 .
pprint.PrettyPrinter(width=80),Construct a PrettyPrinter instance . The desired output `width` is constrained using the width parameter ; the default is 80 characters .
"traceback.print_exception(etype, value, tb, limit=None)","Print exception information and stack trace entries from traceback object `tb` to `file` . The optional `limit` argument has the same meaning as for print_tb ( ) . With arguments `etype`, `value`."
csvwriter.writerows(rows),"Write all elements in `rows` ( an iterable of row objects as described above ) to the writer ’ s file object , formatted according to the current dialect ."
os.seteuid(euid),Set the current process ’ s effective user id . With arguments `euid`.
aifc.setpos(pos),Seek to the specified frame number . With arguments `pos`.
"filecmp.cmp(f1, f2, shallow=True)","Compare the files named `f1` and `f2` , returning True if they seem equal , False otherwise . If `shallow` is true , files with identical os.stat ( ) signatures are taken to be equal ."
list(),"Rather than being a function , list is actually a mutable sequence type , as documented in Lists and Sequence Types — list , tuple , range ."
"calendar.prcal(year, w=0)",Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`.
"http.client.HTTPConnection(host, timeout)","An HTTPConnection instance represents one transaction with an HTTP server . It should be instantiated passing it a `host` and optional `port` number . If the optional `timeout` parameter is given , blocking operations ( like connection attempts ) will timeout after that many seconds ( if it is not given , the global default timeout setting is used ) ."
urllib.parse.urlencode(query),"Convert a mapping object or a sequence of two-element tuples , which may contain str or bytes objects , to a percent-encoded ASCII text string . When a sequence of two-element tuples is used as the `query` argument , the first element of each tuple is a key and the second is a value ."
"ctypes.CDLL(name, mode=DEFAULT_MODE, handle=None)","Instances of this class represent loaded shared libraries . With arguments `name`, `mode`, `handle`."
"code.compile_command(source, symbol=""single"")","This function is useful for programs that want to emulate Python ’ s interpreter main loop ( a.k.a . `source` is the source string ; `filename` is the optional filename from which source was read , defaulting to ' < input > ' ; and `symbol` is the optional grammar start symbol , which should be either 'single ' ( the default ) or 'eval ' ."
"struct.pack(v1, v2)","Identical to the pack ( ) function , using the compiled format . With arguments `v1`, `v2`."
"control.event(event, argument, ordering=None)","Make an entry into the ControlEvent table for this control . With arguments `event`, `argument`, `ordering`."
config_parser.readfp(fp),"For existing code calling readfp ( ) with arguments which don ’ t support iteration , the following generator may be used as a wrapper around the file-like object : Instead of parser.readfp ( `fp` ) use parser.read_file ( readline_generator ( fp ) ) ."
"bz2.open(filename, encoding=None)","Open a bzip2-compressed file in binary or text `mode` , returning a file object . As with the constructor for BZ2File , the `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . In this case , the `encoding` , `errors` and `newline` arguments must not be provided ."
"save_signals.matches(self, d, **kwargs)","Try to match a single dict with the supplied arguments . With arguments `self`, `d`, `**kwargs`."
Match.expand(template),"Return the string obtained by doing backslash substitution on the `template` string template , as done by the sub ( ) method ."
str.lstrip(chars),Return a copy of the string with leading characters removed . The `chars` argument is a string specifying the set of characters to be removed .
tuple(iterable),"Rather than being a function , tuple is actually an immutable sequence type , as documented in Tuples and Sequence Types — list , tuple , range . With arguments `iterable`."
"bytes.translate(table, delete=b'')","Return a copy of the bytes or bytearray object where all bytes occurring in the optional argument `delete` are removed , and the remaining bytes have been mapped through the given translation `table` , which must be a bytes object of length 256 ."
memoryview.__eq__(exporter),A memoryview and a PEP 3118 `exporter` are equal if their shapes are equivalent and if all corresponding values are equal when the operands ’ respective format codes are interpreted using struct syntax .
"datetime.combine(date, time)","Return a new datetime object whose `date` components are equal to the given date object ’ s , and whose `time` components are equal to the given time object ’ s ."
"pyclbr.readmodule(module, path=None)","Return a dictionary mapping module-level class names to class descriptors . Parameter `module` is a string with the name of the module to read ; it may be the name of a module within a package . If given , `path` is a sequence of directory paths prepended to sys.path , which is used to locate the module source code ."
xml.etree.ElementTree.Comment(text=None),Comment element factory . `text` is a string containing the comment string .
"curses.setupterm(term=None, fd=-1)","Initialize the terminal . `term` is a string giving the terminal name , or None ; if omitted or None , the value of the TERM environment variable will be used . `fd` is the file descriptor to which any initialization sequences will be sent ; if not supplied or -1 , the file descriptor for sys.stdout will be used ."
str(encoding='utf-8'),Return a str version of `object` . With arguments `encoding`.
"zlib.compressobj(level=-1, method=DEFLATED)","Returns a compression object , to be used for compressing data streams that won ’ t fit into memory at once . `level` is the compression level – an integer from 0 to 9 or -1 . `method` is the compression algorithm ."
"filecmp.dircmp(a, b, ignore=None, hide=None)","Construct `a` new directory comparison object , to compare the directories a and b. `ignore` is a list of names to ignore , and defaults to filecmp.DEFAULT_IGNORES . `hide` is a list of names to hide , and defaults to [ os.curdir , os.pardir ] . With arguments `b`."
stream_handler.emit(record),"If a formatter is specified , it is used to format the `record` ."
sqlite3.Cursor,A Cursor instance has the following attributes and methods.
"epoll.poll(timeout=-1, maxevents=-1)",Wait for events . `timeout` in seconds ( float ) With arguments `maxevents`.
"bytes.maketrans(from, to)",This static method returns a translation table usable for bytes.translate ( ) that will map each character in `from` into the character at the same position in `to` ; from and to must both be bytes-like objects and have the same length .
"save_signals.match_value(self, k, dv, v)","Try to match a single stored value ( `dv` ) with a supplied value ( `v` ) . With arguments `self`, `k`."
"bisect.bisect_left(a, x)",Locate the insertion point for `x` in `a` to maintain sorted order .
"signature.bind(*args, **kwargs)","Create a mapping from positional and keyword arguments to parameters . Returns BoundArguments if `*args` and `**kwargs` match the signature , or raises a TypeError ."
"webbrowser.open(url, new=0)","Display `url` using the default browser . If `new` is 0 , the url is opened in the same browser window if possible ."
"max(iterable, key, default)",Return the largest item in an `iterable` or the largest of two or more arguments . The `key` argument specifies a one-argument ordering function like that used for list.sort ( ) . The `default` argument specifies an object to return if the provided iterable is empty .
sniffer.sniff(sample),Analyze the given `sample` and return a Dialect subclass reflecting the parameters found .
"urllib.request.Request(url, data=None, headers={})","This class is an abstraction of a URL request . `url` should be a string containing a valid URL . `data` must be an object specifying additional data to send to the server , or None if no such data is needed . If no Content-Length nor Transfer-Encoding header field has been provided , HTTPHandler will set these `headers` according to the type of data ."
element.append(subelement),Adds the element `subelement` to the end of this element ’ s internal list of subelements .
datetime.isoformat(sep='T'),"Return a string representing the date and time in ISO 8601 format , YYYY-MM-DDTHH : MM : SS.ffffff or , if microsecond is 0 , YYYY-MM-DDTHH : MM : SS The optional argument `sep` ( default 'T ' ) is a one-character separator , placed between the date and time portions of the result ."
"tempfile.mktemp(prefix='tmp', dir=None)","Return an absolute pathname of a file that did not exist at the time the call is made . The `prefix` , `suffix` , and `dir` arguments are similar to those of mkstemp ( ) , except that bytes file names , suffix=None and prefix=None are not supported ."
"HTTPPasswordMgrWithPriorAuth.update_authenticated(self, uri)",Update the `is_authenticated` flag for the given `uri` or list of URIs . With arguments `self`.
"control.mapping(event, attribute)","Make an entry into the EventMapping table for this control . With arguments `event`, `attribute`."
"os.putenv(key, value)",Set the environment variable named `key` to the string `value` .
io.BufferedReader(raw),"A buffer providing higher-level access to a readable , sequential RawIOBase object . When reading data from this object , a larger amount of data may be requested from the underlying `raw` stream , and kept in an internal buffer ."
"subprocess.run(args, shell=False)",Run the command described by `args` . With arguments `shell`.
"re.search(pattern, string)","Scan through `string` looking for the first location where the regular expression `pattern` produces a match , and return a corresponding match object ."
IMAP4.close(),Close currently selected mailbox .
xmlparser.SetBase(base),Sets the `base` to be used for resolving relative URIs in system identifiers in declarations .
"snapshot.statistics(key_type: str, cumulative: bool=False)","Get statistics as a sorted list of Statistic instances grouped by key_type : With arguments `key_type: str`, `cumulative: bool`."
@dataclasses.dataclass(init=True),"This function is a decorator that is used to add generated special methods to classes , as described below . With arguments `init`."
email.headerregistry.Address(username=''),"The class used to represent an email address . As a convenience `addr_spec` can be specified instead of `username` and `domain` , in which case username and domain will be parsed from the addr_spec ."
hash(object),Return the hash value of the `object` ( if it has one ) .
"test.support.checksizeof(test, o, size)","For testcase `test` , assert that the sys.getsizeof for `o` plus the GC header `size` equals size ."
cmd.Cmd(stdout=None),A Cmd instance or subclass instance is a line-oriented interpreter framework . The optional arguments `stdin` and `stdout` specify the input and output file objects that the Cmd instance or subclass instance will use for input and output .
gc.collect(generation=2),"With no arguments , run a full collection . The optional argument `generation` may be an integer specifying which generation to collect ( from 0 to 2 ) ."
"sysconfig.get_paths(scheme, vars, expand)","Return a dictionary containing all installation paths corresponding to an installation `scheme` . If `vars` is provided , it must be a dictionary of variables that will update the dictionary used to `expand` the paths ."
"colorsys.yiq_to_rgb(y, i, q)","Convert the color from YIQ coordinates to RGB coordinates . With arguments `y`, `i`, `q`."
list(d),Return a list of all the keys used in the dictionary `d` .
contextlib.closing(thing),Return a context manager that closes `thing` upon completion of the block .
"ordered_dict.move_to_end(key, last=True)",Move an existing `key` to either end of an ordered dictionary . The item is moved to the right end if `last` is true ( the default ) or to the beginning if last is false .
"curses.setsyx(y, x)","Set the virtual screen cursor to `y` , `x` ."
abs(x),Return the absolute value of a number . With arguments `x`.
asyncio.open_connection(family=0),"Establish a network connection and return a pair of ( reader , writer ) objects . With arguments `family`."
argparse.ArgumentParser(description=None),"Create a new ArgumentParser object . Each parameter has its own more detailed `description` below , but in short they are :"
"widget.set(item, column=None, value=None)","With one argument , returns a dictionary of column/value pairs for the specified `item` . With two arguments , returns the current `value` of the specified `column` ."
"test_loader.discover(start_dir, pattern='test*.py')","Find all the test modules by recursing into subdirectories from the specified start directory , and return a TestSuite object containing them . `start_dir` can be a dotted module name as well as a directory . Only test files that match `pattern` will be loaded ."
del d[key],Remove d[key] from d.  Raises a KeyError if key is not in the map.
"binhex.binhex(input, output)",Convert a binary file with filename `input` to binhex file `output` .
"config_parser.read_string(string, source='<string>')",Parse configuration data from a `string` . Optional argument `source` specifies a context-specific name of the string passed .
"tempfile.mktemp(suffix='', dir=None)","Return an absolute pathname of a file that did not exist at the time the call is made . The `prefix` , `suffix` , and `dir` arguments are similar to those of mkstemp ( ) , except that bytes file names , suffix=None and prefix=None are not supported ."
collections.OrderedDict(items),Return an instance of a dict subclass that has methods specialized for rearranging dictionary order . With arguments `items`.
"IMAP4.rename(oldmailbox, newmailbox)",Rename mailbox named `oldmailbox` to `newmailbox` .
"warnings.showwarning(message, category, filename, lineno, line=None)","Write a warning to a `file` . The default implementation calls formatwarning ( `message` , `category` , `filename` , `lineno` , `line` ) and writes the resulting string to file , which defaults to sys.stderr ."
"IMAP4.fetch(message_set, message_parts)","Fetch ( parts of ) messages . `message_parts` should be a string of message part names enclosed within parentheses , eg : `` ( UID BODY [ TEXT ] ) '' . With arguments `message_set`."
"compile(source, filename, mode)","Compile the `source` into a code or AST object . The `filename` argument should give the file from which the code was read ; pass some recognizable value if it wasn ’ t read from a file ( ' < string > ' is commonly used ) . The `mode` argument specifies what kind of code must be compiled ; it can be 'exec ' if source consists of a sequence of statements , 'eval ' if it consists of a single expression , or 'single ' if it consists of a single interactive statement ( in the latter case , expression statements that evaluate to something other than None will be printed ) ."
"loop.connect_read_pipe(protocol_factory, pipe)",Register the read end of `pipe` in the event loop . `protocol_factory` must be a callable returning an asyncio protocol implementation .
"text_calendar.formatyear(theyear, w=2, l=1)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
bdb.canonic(filename),"Auxiliary method for getting a `filename` in a canonical form , that is , as a case-normalized ( on case-insensitive filesystems ) absolute path , stripped of surrounding angle brackets ."
"cmath.rect(r, phi)",Return the complex number x with polar coordinates `r` and `phi` .
"max(iterable, key)",Return the largest item in an `iterable` or the largest of two or more arguments . The `key` argument specifies a one-argument ordering function like that used for list.sort ( ) .
imp.reload(module),Reload a previously imported `module` .
message.attach(payload),"Add the given `payload` to the current payload , which must be None or a list of Message objects before the call ."
IMAP4.select(readonly=False),"Select a `mailbox` . If the `readonly` flag is set , modifications to the mailbox are not allowed ."
fraction.__round__(ndigits),"The first version returns the nearest int to self , rounding half to even . The second version rounds self to the nearest multiple of Fraction ( 1 , 10**ndigits ) ( logically , if `ndigits` is negative ) , again rounding half toward even ."
Path.resolve(strict=False),"Make the path absolute , resolving any symlinks . If the path doesn ’ t exist and `strict` is True , FileNotFoundError is raised ."
"os.execve(path, args, env)","These functions all execute a new program , replacing the current process ; they do not return . The other variants , execl ( ) , execle ( ) , execv ( ) , and execve ( ) , will not use the PATH variable to locate the executable ; `path` must contain an appropriate absolute or relative path . The “ v ” variants are good when the number of parameters is variable , with the arguments being passed in a list or tuple as the `args` parameter . For execle ( ) , execlpe ( ) , execve ( ) , and execvpe ( ) ( note that these all end in “ e ” ) , the `env` parameter must be a mapping which is used to define the environment variables for the new process ( these are used instead of the current process ’ environment ) ; the functions execl ( ) , execlp ( ) , execv ( ) , and execvp ( ) all cause the new process to inherit the environment of the current process ."
del d[key],Remove d[key] from d.  Raises a KeyError if key is not in the map.
"copy.deepcopy(x, memo)",Return a deep copy of `x` . With arguments `memo`.
"compileall.compile_path(skip_curdir=True, maxlevels=0)","Byte-compile all the .py files found along sys.path . If `skip_curdir` is true ( the default ) , the current directory is not included in the search . Note that unlike the other compile functions , `maxlevels` defaults to 0 ."
"locale.format_string(format, val, grouping=False)","Formats a number `val` according to the current LC_NUMERIC setting . The `format` follows the conventions of the % operator . If `grouping` is true , also takes the grouping into account ."
turtle.onclick(fun),Bind `fun` to mouse-click events on this turtle .
@dataclasses.dataclass(init=True),"This function is a decorator that is used to add generated special methods to classes , as described below . With arguments `init`."
"textwrap.shorten(text, width, **kwargs)",Collapse and truncate the given `text` to fit in the given `width` . With arguments `**kwargs`.
id(object),Return the “ identity ” of an `object` .
widget.get_children(item=None),Returns the list of children belonging to `item` .
dataclasses.asdict(instance),Converts the dataclass `instance` to a dict ( by using the factory function `dict_factory` ) .
"doc_test_parser.get_examples(string, name='<string>')","Extract all doctest examples from the given `string` , and return them as a list of Example objects . The optional argument `name` is a name identifying this string , and is only used for error messages ."
"array.insert(i, x)",Insert a new item with value `x` in the array before position `i` .
"array.fromfile(f, n)",Read `n` items ( as machine values ) from the file object `f` and append them to the end of the array .
doctest.debug_src(src),"Debug the doctests in a string . This is like function debug ( ) above , except that a string containing doctest examples is specified directly , via the `src` argument ."
array.append(x),Append a new item with value `x` to the end of the array .
test.support.script_helper.kill_python(p),Run the given subprocess.Popen process until completion and return stdout . With arguments `p`.
"smtpd.SMTPChannel(server, conn, addr)",Create a new SMTPChannel object which manages the communication between the `server` and a single SMTP client . `conn` and `addr` are as per the instance variables described below .
"configparser.RawConfigParser(':'), ';'), interpolation)","Legacy variant of the ConfigParser . It has `interpolation` disabled by default and allows for non-string section names , option names , and values via its unsafe add_section and set methods , as well as the legacy defaults= keyword argument handling . With arguments `':')`, `';')`."
"logging.config.fileConfig(fname, disable_existing_loggers=True)","Reads the logging configuration from a configparser-format file . With arguments `fname`, `disable_existing_loggers`."
message.get_params(unquote=True),"Return the message ’ s Content-Type parameters , as a list . If there is no '= ' sign in the parameter the value is the empty string , otherwise the value is as described in get_param ( ) and is unquoted if optional `unquote` is True ( the default ) ."
"shutil.rmtree(path, onerror=None)","Delete an entire directory tree ; `path` must point to a directory ( but not a symbolic link to a directory ) . If `ignore_errors` is true , errors resulting from failed removals will be ignored ; if false or omitted , such errors are handled by calling a handler specified by `onerror` or , if that is omitted , they raise an exception ."
EnvironmentVarGuard.unset(envvar),Temporarily unset the environment variable `envvar` .
help(),Invoke the built-in help system .
"calendar.prcal(year, l=0, c=6)","Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `l`, `c`."
"FTP.transfercmd(cmd, rest=None)","Initiate a transfer over the data connection . If the transfer is active , send an EPRT or PORT command and the transfer command specified by `cmd` , and accept the connection . If optional `rest` is given , a REST command is sent to the server , passing rest as an argument ."
"Pattern.sub(repl, string, count=0)","Identical to the sub ( ) function , using the compiled pattern . With arguments `repl`, `string`, `count`."
urllib.request.URLopener(**x509),Base class for opening and reading URLs . With arguments `**x509`.
ArgumentParser.add_mutually_exclusive_group(required=False),"Create a mutually exclusive group . The add_mutually_exclusive_group ( ) method also accepts a `required` argument , to indicate that at least one of the mutually exclusive arguments is required :"
True,The true value of the bool type.
"smtplib.SMTP(timeout, port=0)","An SMTP instance encapsulates an SMTP connection . The optional `timeout` parameter specifies a timeout in seconds for blocking operations like the connection attempt ( if not specified , the global default timeout setting will be used ) . If the optional `host` and `port` parameters are given , the SMTP connect ( ) method is called with those parameters during initialization ."
"window.setscrreg(top, bottom)",Set the scrolling region from line `top` to line `bottom` .
format(value),"Convert a `value` to a “ formatted ” representation , as controlled by `format_spec` ."
ur_lopener.open(fullurl),Open `fullurl` using the appropriate protocol .
"SSLContext.wrap_socket(sock, session=None)","Wrap an existing Python socket `sock` and return an instance of SSLContext.sslsocket_class ( default SSLSocket ) . `session` , see session ."
"code.InteractiveConsole(filename=""<console>"")",Closely emulate the behavior of the interactive Python interpreter . With arguments `filename`.
date.__str__(),"For a date d , str ( d ) is equivalent to d.isoformat ( ) ."
"smtpd.SMTPChannel(server, conn, addr)",Create a new SMTPChannel object which manages the communication between the `server` and a single SMTP client . `conn` and `addr` are as per the instance variables described below .
header.__str__(),"Returns an approximation of the Header as a string , using an unlimited line length ."
difflib.SequenceMatcher(a=''),Optional argument `isjunk` must be None ( the default ) or `a` one-argument function that takes a sequence element and returns true if and only if the element is “ junk ” and should be ignored .
"array.fromfile(f, n)",Read `n` items ( as machine values ) from the file object `f` and append them to the end of the array .
test.support.script_helper.kill_python(p),Run the given subprocess.Popen process until completion and return stdout . With arguments `p`.
"locale.format_string(format, val)",Formats a number `val` according to the current LC_NUMERIC setting . The `format` follows the conventions of the % operator .
str(errors='strict'),Return a str version of `object` . With arguments `errors`.
"datetime.timedelta(days=0, microseconds=0)","All arguments are optional and default to 0 . Only `days` , `seconds` and `microseconds` are stored internally ."
"bdb.trace_dispatch(frame, event, arg)","This function is installed as the trace function of debugged frames . The default implementation decides how to dispatch a `frame` , depending on the type of `event` ( passed as a string ) that is about to be executed . The `arg` parameter depends on the previous event ."
"threading.Timer(interval, function, args=None, kwargs=None)","Create a timer that will run `function` with arguments `args` and keyword arguments `kwargs` , after `interval` seconds have passed ."
ctypes.Array(*args),Abstract base class for arrays . With arguments `*args`.
"chunk.Chunk(file, align=True, bigendian=True)","Class which represents a chunk . The `file` argument is expected to be a file-like object . If the optional argument `align` is true , chunks are assumed to be aligned on 2-byte boundaries . If the optional argument `bigendian` is false , the chunk size is assumed to be in little-endian order ."
"io.BufferedRWPair(reader, writer)","A buffered I/O object combining two unidirectional RawIOBase objects – one readable , the other writeable – into a single bidirectional endpoint . `reader` and `writer` are RawIOBase objects that are readable and writeable respectively ."
sqlite3.Connection,A SQLite database connection has the following attributes and methods:
sqlite3.version,"The version number of this module, as a string."
help(),Invoke the built-in help system .
"deque.index(x, start)",Return the position of `x` in the deque ( at or after index `start` and before index `stop` ) .
fraction.__round__(ndigits),"The first version returns the nearest int to self , rounding half to even . The second version rounds self to the nearest multiple of Fraction ( 1 , 10**ndigits ) ( logically , if `ndigits` is negative ) , again rounding half toward even ."
str.partition(sep),"Split the string at the first occurrence of `sep` , and return a 3-tuple containing the part before the separator , the separator itself , and the part after the separator ."
array._length_,A positive integer specifying the number of elements in the array.
IMAP4.readonly,This exception is raised when a writable mailbox has its status changed by the server.
BaseCookie.output(sep='\r\n'),"Return a string representation suitable to be sent as HTTP headers . `sep` is used to join the headers together , and is by default the combination '\r\n ' ( CRLF ) ."
"webbrowser.open(url, new=0, autoraise=True)","Display `url` using the default browser . If `new` is 0 , the url is opened in the same browser window if possible . If `autoraise` is True , the window is raised if possible ( note that under many window managers this will occur regardless of the setting of this variable ) ."
