snippet,intent
email.utils.decode_params(params),"Decode parameters list according to RFC 2231. `params` is a sequence of 2-tuples containing elements of the form ( content-type , string-value ) ."
"dispatcher.handle_accepted(sock, addr)","Called on listening channels ( passive openers ) when a connection has been established with a new remote endpoint that has issued a connect ( ) call for the local endpoint . `sock` is a new socket object usable to send and receive data on the connection , and `addr` is the address bound to the socket on the other end of the connection ."
maildir.get_folder(folder),Return a Maildir instance representing the `folder` whose name is folder .
list(),"Rather than being a function , list is actually a mutable sequence type , as documented in Lists and Sequence Types — list , tuple , range ."
inspect.cleandoc(doc),Clean up indentation from docstrings that are indented to line up with blocks of code . With arguments `doc`.
SyntaxError,Raised when the parser encounters a syntax error.
"widget.insert(parent, index, **kw)","Creates a new item and returns the item identifier of the newly created item . `parent` is the item ID of the parent item , or the empty string to create a new top-level item . `index` is an integer , or the value “ end ” , specifying where in the list of parent ’ s children to insert the new item . With arguments `**kw`."
ArgumentParser.add_argument_group(title=None),"By default , ArgumentParser groups command-line arguments into “ positional arguments ” and “ optional arguments ” when displaying help messages . The add_argument_group ( ) method accepts `title` and `description` arguments which can be used to customize this display :"
"InteractiveConsole.raw_input(prompt="""")",Write a `prompt` and read a line .
class.__bases__,The tuple of base classes of a class object.
"open(file, newline=None)",Open `file` and return a corresponding file object . Refer to the documentation of the `newline` parameter for further details .
"hashlib.pbkdf2_hmac(hash_name, password, salt, iterations)","The function provides PKCS # 5 password-based key derivation function 2 . The string `hash_name` is the desired name of the hash digest algorithm for HMAC , e.g . `password` and `salt` are interpreted as buffers of bytes . The number of `iterations` should be chosen based on the hash algorithm and computing power ."
"xml.etree.ElementTree.tostring(element, short_empty_elements=True)","Generates a string representation of an XML `element` , including all subelements . `short_empty_elements` has the same meaning as in ElementTree.write ( ) ."
collections.OrderedDict(items),Return an instance of a dict subclass that has methods specialized for rearranging dictionary order . With arguments `items`.
"re.search(pattern, string)","Scan through `string` looking for the first location where the regular expression `pattern` produces a match , and return a corresponding match object ."
loop.remove_reader(fd),Stop monitoring the `fd` file descriptor for read availability .
bool(),"Return a Boolean value , i.e ."
config_parser.readfp(fp),"For existing code calling readfp ( ) with arguments which don ’ t support iteration , the following generator may be used as a wrapper around the file-like object : Instead of parser.readfp ( `fp` ) use parser.read_file ( readline_generator ( fp ) ) ."
"window.chgat(y, x, num, attr)","Set the attributes of `num` characters at the current cursor position , or at position ( `y` , `x` ) if supplied . With arguments `attr`."
Cmd.cmdloop(intro=None),"Repeatedly issue a prompt , accept input , parse an initial prefix off the received input , and dispatch to action methods , passing them the remainder of the line as argument . The optional argument is a banner or `intro` string to be issued before the first prompt ( this overrides the intro class attribute ) ."
"__import__(name, globals=None)","This function is invoked by the import statement . The function imports the module `name` , potentially using the given `globals` and `locals` to determine how to interpret the name in a package context ."
"inspect.getattr_static(obj, attr, default=None)","Retrieve attributes without triggering dynamic lookup via the descriptor protocol , __getattr__ ( ) or __getattribute__ ( ) . With arguments `obj`, `attr`, `default`."
"shape.addcomponent(poly, fill)","Example : With arguments `poly`, `fill`."
@staticmethod,Transform a method into a static method.
"formatter.add_label_data(format, counter)","Insert a label which should be placed to the left of the current left margin . If the `format` value is a string , it is interpreted as a format specification for `counter` , which should be an integer ."
random.seed(a=None),"Initialize the random number generator . If `a` is omitted or None , the current system time is used ."
"select.kevent(ident, data=0)","( Only supported on BSD . ) With arguments `ident`, `data`."
"http.client.HTTPResponse(sock, url=None)","Class whose instances are returned upon successful connection . With arguments `sock`, `url`."
"dataclasses.replace(instance, **changes)","Creates a new object of the same type of `instance` , replacing fields with values from changes . With arguments `**changes`."
SubprocessTransport.send_signal(signal),"Send the `signal` number to the subprocess , as in subprocess.Popen.send_signal ( ) ."
"logging.LoggerAdapter(logger, extra)","Returns an instance of LoggerAdapter initialized with an underlying Logger instance and a dict-like object . With arguments `logger`, `extra`."
open(file),Open `file` and return a corresponding file object .
date.strftime(format),"Return a string representing the date , controlled by an explicit `format` string ."
"xmlparser.ProcessingInstructionHandler(target, data)","Called for every processing instruction . With arguments `target`, `data`."
"gzip.open(filename, mode='rb')","Open a gzip-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to ."
"logging.handlers.HTTPHandler(host, url, method='GET')","Returns a new instance of the HTTPHandler class . The `host` can be of the form host : port , should you need to use a specific port number . If no `method` is specified , GET is used . With arguments `url`."
"shape.addcomponent(poly, fill)","Example : With arguments `poly`, `fill`."
array.append(x),Append a new item with value `x` to the end of the array .
exit(),"Objects that when printed , print a message like “ Use quit ( ) or Ctrl-D ( i.e ."
"email.contentmanager.get_content(msg, errors='replace')","Return the payload of the part as either a string ( for text parts ) , an EmailMessage object ( for message/rfc822 parts ) , or a bytes object ( for all other non-multipart types ) . If the part is a text part and `errors` is specified , use it as the error handler when decoding the payload to unicode . With arguments `msg`."
"executor.map(func, *iterables, chunksize=1)","Similar to map ( `func` , `*iterables` ) except : The ( approximate ) size of these chunks can be specified by setting `chunksize` to a positive integer ."
"email.utils.collapse_rfc2231_value(value, errors='replace', fallback_charset='us-ascii')","When a header parameter is encoded in RFC 2231 format , Message.get_param may return a 3-tuple containing the character set , language , and `value` . Optional `errors` is passed to the errors argument of str ’ s encode ( ) method ; it defaults to 'replace ' . Optional `fallback_charset` specifies the character set to use if the one in the RFC 2231 header is not known by Python ; it defaults to 'us-ascii ' ."
"lzma.open(filename, check=-1)","Open an LZMA-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be either an actual file name ( given as a str , bytes or path-like object ) , in which case the named file is opened , or it can be an existing file object to read from or write to . In this case , the `check` and `preset` arguments should not be used ."
"Pattern.split(string, maxsplit=0)","Identical to the split ( ) function , using the compiled pattern . With arguments `string`, `maxsplit`."
"element.find(match, namespaces=None)",Finds the first subelement matching `match` . `namespaces` is an optional mapping from namespace prefix to full name .
"turtle.ontimer(fun, t=0)",Install a timer that calls `fun` after `t` milliseconds .
"contextvars.ContextVar(name, default)","This class is used to declare a new Context Variable , e.g . The required `name` parameter is used for introspection and debug purposes . The optional keyword-only `default` parameter is returned by ContextVar.get ( ) when no value for the variable is found in the current context ."
"base64.decode(input, output)",Decode the contents of the binary `input` file and write the resulting binary data to the `output` file .
id(object),Return the “ identity ” of an `object` .
formatter.DumbWriter(maxcol=72),"Simple writer class which writes output on the `file` object passed in as file or , if file is omitted , on standard output . The output is simply word-wrapped to the number of columns specified by `maxcol` ."
dis.dis(x=None),Disassemble the `x` object .
ArgumentParser.exit(status=0),"This method terminates the program , exiting with the specified `status` and , if given , it prints a `message` before that ."
x not in s,Test x for non-membership in s.
ftplib.FTP(user=''),"Return a new instance of the FTP class . When `user` is given , additionally the method call login ( user , `passwd` , `acct` ) is made ( where passwd and acct default to the empty string when not given ) ."
"json.JSONDecodeError(msg, doc, pos)","Subclass of ValueError with the following additional attributes : With arguments `msg`, `doc`, `pos`."
"bz2_decompressor.decompress(data, max_length=-1)","Decompress `data` ( a bytes-like object ) , returning uncompressed data as bytes . If `max_length` is nonnegative , returns at most max_length bytes of decompressed data ."
tempfile.TemporaryFile(mode='w+b'),Return a file-like object that can be used as a temporary storage area . The `mode` parameter defaults to ' w+b ' so that the file created can be read and written without being closed .
inspect.getgeneratorstate(generator),Get current state of a generator-iterator . With arguments `generator`.
window.scroll(lines=1),Scroll the screen or scrolling region upward by `lines` lines .
stream_reader.readuntil(separator=b'\n'),Read data from the stream until `separator` is found .
"TarFile.extract(member, path="""")","Extract a `member` from the archive to the current working directory , using its full name . You can specify a different directory using `path` ."
dict(**kwarg),Create a new dictionary . With arguments `**kwarg`.
"colorsys.rgb_to_yiq(r, g, b)","Convert the color from RGB coordinates to YIQ coordinates . With arguments `r`, `g`, `b`."
"loop.create_server(protocol_factory, backlog=100)","Create a TCP server ( socket type SOCK_STREAM ) listening on `port` of the `host` address . With arguments `protocol_factory`, `backlog`."
"msilib.Dialog(db, name, x, y, w, h, attr, title, first, default, cancel)","Return a new Dialog object . An entry in the Dialog table is made , with the specified coordinates , dialog attributes , `title` , `name` of the `first` , `default` , and `cancel` controls . With arguments `db`, `x`, `y`, `w`, `h`, `attr`."
"shlex.split(s, comments=False)","Split the string `s` using shell-like syntax . If `comments` is False ( the default ) , the parsing of comments in the given string will be disabled ( setting the commenters attribute of the shlex instance to the empty string ) ."
contextlib.closing(thing),Return a context manager that closes `thing` upon completion of the block .
"incremental_encoder.encode(object, final)",Encodes `object` ( taking the current state of the encoder into account ) and returns the resulting encoded object . If this is the last call to encode ( ) `final` must be true ( the default is false ) .
fraction.__floor__(),Returns the greatest int < = self .
str.partition(sep),"Split the string at the first occurrence of `sep` , and return a 3-tuple containing the part before the separator , the separator itself , and the part after the separator ."
doc_test_runner.run(test),"Run the examples in `test` ( a DocTest object ) , and display the results using the writer function `out` ."
zipapp.get_interpreter(archive),Return the interpreter specified in the # ! line at the start of the `archive` .
tracemalloc.start(nframe: int=1),Start tracing Python memory allocations : install hooks on Python memory allocators . With arguments `nframe: int`.
stream_reader.read(n=-1),Read up to `n` bytes .
"window.addstr(str, attr)","Paint the character string `str` at ( y , x ) with attributes `attr` , overwriting anything previously on the display ."
cgi.print_form(form),Format a `form` in HTML .
"calendar.prcal(year, w=0, c=6)","Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`, `c`."
xmlrpc.client.MultiCall(server),Create an object used to boxcar method calls . `server` is the eventual target of the call .
"connection.backup(target, pages=0, name=""main"")","This method makes a backup of a SQLite database even while it ’ s being accessed by other clients , or concurrently by the same connection . The copy will be written into the mandatory argument `target` , that must be another Connection instance . By default , or when `pages` is either 0 or a negative integer , the entire database is copied in a single step ; otherwise the method performs a loop copying up to pages pages at a time . The `name` argument specifies the database name that will be copied : it must be a string containing either `` main '' , the default , to indicate the main database , `` temp '' to indicate the temporary database or the name specified after the AS keyword in an ATTACH DATABASE statement for an attached database ."
ordered_dict.popitem(last=True),"The popitem ( ) method for ordered dictionaries returns and removes a ( key , value ) pair . The pairs are returned in LIFO order if `last` is true or FIFO order if false ."
"Completer.complete(text, state)",Return the stateth completion for `text` . With arguments `state`.
parser.st2list(st),This function accepts an ST object from the caller in `st` and returns a Python list representing the equivalent parse tree .
"control.event(event, argument, ordering=None)","Make an entry into the ControlEvent table for this control . With arguments `event`, `argument`, `ordering`."
test_case.run(result=None),"Run the test , collecting the `result` into the TestResult object passed as result ."
contextlib.closing(thing),Return a context manager that closes `thing` upon completion of the block .
base64.b64decode(s),Decode the Base64 encoded bytes-like object or ASCII string `s` and return the decoded bytes .
"header_registry.map_to_type(self, name, cls)","`name` is the name of the header to be mapped . `cls` is the specialized class to be used , along with base_class , to create the class used to instantiate headers that match name . With arguments `self`."
"logging.handlers.QueueListener(queue, *handlers)",Returns a new instance of the QueueListener class . The instance is initialized with the `queue` to send messages to and a list of handlers which will handle entries placed on the queue . With arguments `*handlers`.
BaseException,The base class for all built-in exceptions.
"compileall.compile_dir(dir, workers=1)","Recursively descend the directory tree named by `dir` , compiling all .py files along the way . The argument `workers` specifies how many workers are used to compile files in parallel ."
"logging.handlers.TimedRotatingFileHandler(filename, when='h', backupCount=0)","Returns a new instance of the TimedRotatingFileHandler class . On rotating it also sets the `filename` suffix . Rotating happens based on the product of `when` and `interval` . If `backupCount` is nonzero , at most backupCount files will be kept , and if more would be created when rollover occurs , the oldest one is deleted ."
"xmlrpc.client.dumps(params, allow_none=False)","Convert `params` into an XML-RPC request . Python ’ s None value can not be used in standard XML-RPC ; to allow using it via an extension , provide a true value for `allow_none` ."
input(prompt),"If the `prompt` argument is present , it is written to standard output without a trailing newline ."
WriteTransport.set_write_buffer_limits(high=None),Set the `high` and `low` watermarks for write flow control .
"random.betavariate(alpha, beta)",Beta distribution . Conditions on the parameters are `alpha` > 0 and `beta` > 0 .
"curses.ungetmouse(id, x, y, z, bstate)","Push a KEY_MOUSE event onto the input queue , associating the given state data with it . With arguments `id`, `x`, `y`, `z`, `bstate`."
"email.headerregistry.BaseHeader(name, value)",`name` and `value` are passed to BaseHeader from the header_factory call .
quit(),"Objects that when printed , print a message like “ Use quit ( ) or Ctrl-D ( i.e ."
"argparse.FileType(bufsize=-1, errors=None)","The FileType factory creates objects that can be passed to the type argument of ArgumentParser.add_argument ( ) . With arguments `bufsize`, `errors`."
"doctest.DocFileSuite(*paths, optionflags=0)","Convert doctest tests from one or more text files to a unittest.TestSuite . Optional argument `optionflags` specifies the default doctest options for the tests , created by or-ing together individual option flags . With arguments `*paths`."
platform.libc_ver(chunksize=16384),Tries to determine the libc `version` against which the file `executable` ( defaults to the Python interpreter ) is linked . The file is read and scanned in chunks of `chunksize` bytes .
wsgiref.headers.Headers(headers),"Create a mapping-like object wrapping `headers` , which must be a list of header name/value tuples as described in PEP 3333 ."
directory.start_component(uuid=None),"Add an entry to the Component table , and make this `component` the current component for this directory . With arguments `uuid`."
"copyreg.pickle(type, function)",Declares that `function` should be used as a “ reduction ” function for objects of `type` type .
"os.execl(path, arg0, arg1)","These functions all execute a new program , replacing the current process ; they do not return . The other variants , execl ( ) , execle ( ) , execv ( ) , and execve ( ) , will not use the PATH variable to locate the executable ; `path` must contain an appropriate absolute or relative path . With arguments `arg0`, `arg1`."
SMTP.connect(host='localhost'),Connect to a `host` on a given `port` .
"Telnet.expect(list, timeout=None)","Read until one from a `list` of a regular expressions matches . The optional second argument is a `timeout` , in seconds ; the default is to block indefinitely ."
"directory.glob(pattern, exclude=None)",Add a list of files to the current component as specified in the glob `pattern` . Individual files can be excluded in the `exclude` list .
turtle.circle(radius),Draw a circle with given `radius` .
ST.compile(filename='<syntax-tree>'),"Same as compilest ( st , `filename` ) ."
iter(context),Return an iterator over the variables stored in the `context` object .
"text_calendar.formatyear(theyear, w=2)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
tarfile.TarFile(encoding=ENCODING),All following arguments are optional and can be accessed as instance attributes as well . The `encoding` and errors arguments define the character encoding to be used for reading or writing the archive and how conversion errors are going to be handled .
stream_handler.emit(record),"If a formatter is specified , it is used to format the `record` ."
"window.getstr(y, x, n)","Read a bytes object from the user , with primitive line editing capacity . With arguments `y`, `x`, `n`."
test.support.script_helper.kill_python(p),Run the given subprocess.Popen process until completion and return stdout . With arguments `p`.
"View.Modify(kind, data)","Modify the view , by calling MsiViewModify ( ) . `kind` can be one of MSIMODIFY_SEEK , MSIMODIFY_REFRESH , MSIMODIFY_INSERT , MSIMODIFY_UPDATE , MSIMODIFY_ASSIGN , MSIMODIFY_REPLACE , MSIMODIFY_MERGE , MSIMODIFY_DELETE , MSIMODIFY_INSERT_TEMPORARY , MSIMODIFY_VALIDATE , MSIMODIFY_VALIDATE_NEW , MSIMODIFY_VALIDATE_FIELD , or MSIMODIFY_VALIDATE_DELETE . `data` must be a record describing the new data ."
"pprint.pformat(object, indent=1)","Return the formatted representation of `object` as a string . `indent` , `width` , `depth` and `compact` will be passed to the PrettyPrinter constructor as formatting parameters ."
random.Random(seed),Class that implements the default pseudo-random number generator used by the random module . With arguments `seed`.
SubprocessTransport.send_signal(signal),"Send the `signal` number to the subprocess , as in subprocess.Popen.send_signal ( ) ."
importlib.__import__(name),An implementation of the built-in __import__ ( ) function . With arguments `name`.
reversed(seq),Return a reverse iterator . `seq` must be an object which has a __reversed__ ( ) method or supports the sequence protocol ( the __len__ ( ) method and the __getitem__ ( ) method with integer arguments starting at 0 ) .
"doctest.DocTestFinder(verbose=False, parser=DocTestParser())","A processing class used to extract the DocTests that are relevant to a given object , from its docstring and the docstrings of its contained objects . The optional argument `verbose` can be used to display the objects searched by the finder . The optional argument `parser` specifies the DocTestParser object ( or a drop-in replacement ) that is used to extract doctests from docstrings ."
"os.makedev(major, minor)",Compose a raw device number from the `major` and `minor` device numbers .
abs(x),Return the absolute value of a number . With arguments `x`.
repr(object),Return a string containing a printable representation of an `object` .
"email.iterators.typed_subpart_iterator(msg, maintype='text')","This iterates over all the subparts of `msg` , returning only those subparts that match the MIME type specified by `maintype` and `subtype` ."
"exec(object, globals)","This function supports dynamic execution of Python code . `object` must be either a string or a code object . If only `globals` is provided , it must be a dictionary , which will be used for both the global and the local variables ."
aifc.getmark(id),Return the tuple as described in getmarkers ( ) for the mark with the given `id` .
io.BufferedReader(raw),"A buffer providing higher-level access to a readable , sequential RawIOBase object . When reading data from this object , a larger amount of data may be requested from the underlying `raw` stream , and kept in an internal buffer ."
"xml.etree.ElementTree.SubElement(parent, tag, **extra)",Subelement factory . `parent` is the parent element . `tag` is the subelement name . With arguments `**extra`.
"base64.decode(input, output)",Decode the contents of the binary `input` file and write the resulting binary data to the `output` file .
"cmath.isclose(a, b)",Return True if the values `a` and `b` are close to each other and False otherwise .
FTP.connect(port=0),Connect to the given `host` and `port` .
"window.setscrreg(top, bottom)",Set the scrolling region from line `top` to line `bottom` .
"list.sort(key=None, reverse=False)","This method sorts the list in place , using only < comparisons between items . `key` specifies a function of one argument that is used to extract a comparison key from each list element ( for example , key=str.lower ) . `reverse` is a boolean value ."
"array.insert(i, x)",Insert a new item with value `x` in the array before position `i` .
IMAP4.logout(),Shutdown connection to server .
logging.handlers.QueueHandler(queue),Returns a new instance of the QueueHandler class . The instance is initialized with the `queue` to send messages to .
"epoll.poll(timeout=-1, maxevents=-1)",Wait for events . `timeout` in seconds ( float ) With arguments `maxevents`.
d[key] = value,Set d[key] to value.
"modulefinder.ReplacePackage(oldname, newname)",Allows specifying that the module named `oldname` is in fact the package named `newname` .
"dataclasses.field(default=MISSING, default_factory=MISSING)","For common and simple use cases , no other functionality is required . To satisfy this need for additional information , you can replace the `default` field value with a call to the provided field ( ) function . As shown above , the MISSING value is a sentinel object used to detect if the default and `default_factory` parameters are provided ."
trace.Trace(trace=1),Create an object to `trace` execution of a single statement or expression .
formatter.DumbWriter(maxcol=72),"Simple writer class which writes output on the `file` object passed in as file or , if file is omitted , on standard output . The output is simply word-wrapped to the number of columns specified by `maxcol` ."
"webbrowser.register(name, constructor, preferred=False)","Register the browser type `name` . If `instance` is not provided , or is None , `constructor` will be called without parameters to create an instance when needed . Setting `preferred` to True makes this browser a preferred result for a get ( ) call with no argument ."
unittest.TextTestRunner(failfast=False),A basic test runner implementation that outputs results to a `stream` . With arguments `failfast`.
"window.border(ls, rs, ts, bs, tl, tr)","Draw a border around the edges of the window . With arguments `ls`, `rs`, `ts`, `bs`, `tl`, `tr`."
"webbrowser.register(name, constructor, instance=None)","Register the browser type `name` . If `instance` is not provided , or is None , `constructor` will be called without parameters to create an instance when needed ."
sequence_matcher.get_grouped_opcodes(n=3),Return a generator of groups with up to `n` lines of context .
"memoryview.cast(format, shape)",Cast a memoryview to a new `format` or `shape` .
"timeit.timeit(stmt='pass', setup='pass')","Create a Timer instance with the given statement , `setup` code and `timer` function and run its timeit ( ) method with `number` executions . With arguments `stmt`."
tracemalloc.start(nframe: int=1),Start tracing Python memory allocations : install hooks on Python memory allocators . With arguments `nframe: int`.
"ipaddress.summarize_address_range(first, last)",Return an iterator of the summarized network range given the `first` and `last` IP addresses .
super(),Return a proxy object that delegates method calls to a parent or sibling class of `type` .
difflib.SequenceMatcher(b=''),Optional argument `isjunk` must be None ( the default ) or `a` one-argument function that takes a sequence element and returns true if and only if the element is “ junk ” and should be ignored . The optional arguments a and `b` are sequences to be compared ; both default to empty strings .
"warnings.warn(message, stacklevel=1)","Issue a warning , or maybe ignore it or raise an exception . Alternatively `message` can be a Warning instance , in which case category will be ignored and message.__class__ will be used . The `stacklevel` argument can be used by wrapper functions written in Python , like this :"
fileinput.input(bufsize=0),Create an instance of the FileInput class . With arguments `bufsize`.
BaseHandler.add_parent(director),Add a `director` as parent .
"filecmp.dircmp(a, b, ignore=None)","Construct `a` new directory comparison object , to compare the directories a and b. `ignore` is a list of names to ignore , and defaults to filecmp.DEFAULT_IGNORES . With arguments `b`."
"shutil.register_archive_format(name, function)",Register an archiver for the format `name` . `function` is the callable that will be used to unpack archives .
imaplib.IMAP4_stream(command),This is a subclass derived from IMAP4 that connects to the stdin/stdout file descriptors created by passing `command` to subprocess.Popen ( ) .
base64.b64encode(s),Encode the bytes-like object `s` using Base64 and return the encoded bytes .
"SMTP.docmd(cmd, args='')","Send a command `cmd` to the server . The optional argument `args` is simply concatenated to the command , separated by a space ."
"ast.parse(source, filename='<unknown>', mode='exec')","Parse the `source` into an AST node . Equivalent to compile ( source , `filename` , `mode` , ast.PyCF_ONLY_AST ) ."
"header.encode(\t', linesep='\n')","Encode a message header into an RFC-compliant format , possibly wrapping long lines and encapsulating non-ASCII parts in base64 or quoted-printable encodings . `linesep` specifies the characters used to separate the lines of the folded header . With arguments `\t'`."
"hashlib.scrypt(password, salt, n, r, p, dklen=64)","The function provides scrypt password-based key derivation function as defined in RFC 7914 . `password` and `salt` must be bytes-like objects . `n` is the CPU/Memory cost factor , `r` the block size , `p` parallelization factor and `maxmem` limits memory ( OpenSSL 1.1.0 defaults to 32 MiB ) . `dklen` is the length of the derived key ."
"os.read(fd, n)",Read at most `n` bytes from file descriptor `fd` .
os._exit(n),"Exit the process with status `n` , without calling cleanup handlers , flushing stdio buffers , etc ."
context.copy_decimal(num),Return a copy of the Decimal instance `num` .
"shutil.copytree(src, dst, copy_function=copy2)","Recursively copy an entire directory tree rooted at `src` , returning the destination directory . The destination directory , named by `dst` , must not already exist ; it will be created as well as missing parent directories . If `copy_function` is given , it must be a callable that will be used to copy each file ."
tempfile.TemporaryFile(mode='w+b'),Return a file-like object that can be used as a temporary storage area . The `mode` parameter defaults to ' w+b ' so that the file created can be read and written without being closed .
"save_signals.match_value(self, k, dv, v)","Try to match a single stored value ( `dv` ) with a supplied value ( `v` ) . With arguments `self`, `k`."
datetime.timedelta(days=0),"All arguments are optional and default to 0 . Only `days` , `seconds` and `microseconds` are stored internally ."
"curses.setsyx(y, x)","Set the virtual screen cursor to `y` , `x` ."
"Template.copy(infile, outfile)",Copy `infile` to `outfile` through the pipe .
"decimal.fma(other, third)","Fused multiply-add . With arguments `other`, `third`."
"heapq.heappush(heap, item)","Push the value `item` onto the `heap` , maintaining the heap invariant ."
contextlib.suppress(*exceptions),Return a context manager that suppresses any of the specified exceptions if they occur in the body of a with statement and then resumes execution with the first statement following the end of the with statement . With arguments `*exceptions`.
"HTTPPasswordMgrWithPriorAuth.update_authenticated(self, uri)",Update the `is_authenticated` flag for the given `uri` or list of URIs . With arguments `self`.
"os.walk(top, followlinks=False)","Generate the file names in a directory tree by walking the tree either top-down or bottom-up . For each directory in the tree rooted at directory `top` ( including top itself ) , it yields a 3-tuple ( dirpath , dirnames , filenames ) . Set `followlinks` to True to visit directories pointed to by symlinks , on systems that support them ."
"os.execve(path, args, env)","These functions all execute a new program , replacing the current process ; they do not return . The other variants , execl ( ) , execle ( ) , execv ( ) , and execve ( ) , will not use the PATH variable to locate the executable ; `path` must contain an appropriate absolute or relative path . The “ v ” variants are good when the number of parameters is variable , with the arguments being passed in a list or tuple as the `args` parameter . For execle ( ) , execlpe ( ) , execve ( ) , and execvpe ( ) ( note that these all end in “ e ” ) , the `env` parameter must be a mapping which is used to define the environment variables for the new process ( these are used instead of the current process ’ environment ) ; the functions execl ( ) , execlp ( ) , execv ( ) , and execvp ( ) all cause the new process to inherit the environment of the current process ."
zip(*iterables),Make an iterator that aggregates elements from each of the iterables . With arguments `*iterables`.
"loop.create_server(protocol_factory, backlog=100)","Create a TCP server ( socket type SOCK_STREAM ) listening on `port` of the `host` address . With arguments `protocol_factory`, `backlog`."
asyncio.open_connection(family=0),"Establish a network connection and return a pair of ( reader , writer ) objects . With arguments `family`."
"copyreg.pickle(type, function)",Declares that `function` should be used as a “ reduction ” function for objects of `type` type .
"hashlib.pbkdf2_hmac(hash_name, password, salt, iterations)","The function provides PKCS # 5 password-based key derivation function 2 . The string `hash_name` is the desired name of the hash digest algorithm for HMAC , e.g . `password` and `salt` are interpreted as buffers of bytes . The number of `iterations` should be chosen based on the hash algorithm and computing power ."
array.pop(i),Removes the item with the index `i` from the array and returns it .
mh.__delitem__(key),These methods immediately delete the message . With arguments `key`.
"bdb.Breakpoint(self, file, line)","This class implements `temporary` breakpoints , ignore counts , disabling and ( re- ) enabling , and conditionals . Breakpoints are indexed by number through a list called bpbynumber and by ( `file` , `line` ) pairs through bplist . With arguments `self`."
"hmac.digest(key, msg, digest)",Return `digest` of `msg` for given secret `key` and digest .
IMAP4.socket(),Returns socket instance used to connect to server .
msvcrt.putch(char),Print the byte string `char` to the console without buffering .
"max(arg1, arg2, *args)","Return the largest item in an iterable or the largest of two or more arguments . With arguments `arg1`, `arg2`, `*args`."
"code.InteractiveConsole(filename=""<console>"")",Closely emulate the behavior of the interactive Python interpreter . With arguments `filename`.
"tixCommand.tix_getimage(self, name)","Locates an image file of the `name` name.xpm , name.xbm or name.ppm in one of the bitmap directories ( see the tix_addbitmapdir ( ) method above ) . With arguments `self`."
container.__iter__(),Return an iterator object .
turtle.clearstamps(n=None),Delete all or first/last `n` of turtle ’ s stamps .
"calendar.prcal(year, w=0, m=3)","Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`, `m`."
"context.fma(x, y, z)","Returns `x` multiplied by `y` , plus `z` ."
abc_meta.register(subclass),Register `subclass` as a “ virtual subclass ” of this ABC .
"_thread.start_new_thread(function, args)",Start a new thread and return its identifier . The thread executes the `function` function with the argument list `args` ( which must be a tuple ) .
"operator.setitem(a, b, c)",Set the value of `a` at index `b` to `c` .
"text_calendar.formatyear(theyear, w=2)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
"turtle.circle(radius, extent=None)",Draw a circle with given `radius` . The center is radius units left of the turtle ; `extent` – an angle – determines which part of the circle is drawn .
"pickle.dump(obj, file)",Write the pickled representation of the object `obj` to the open `file` object file .
"test.support.findfile(filename, subdir=None)",Return the path to the file named `filename` . Setting `subdir` indicates a relative path to use to find the file rather than looking directly in the path directories .
"complex(real, imag)","Return a complex number with the value `real` + imag*1j or convert a string or number to a complex number . If `imag` is omitted , it defaults to zero and the constructor serves as a numeric conversion like int and float ."
datetime.time(minute=0),All arguments are optional . With arguments `minute`.
"calendar.prcal(year, w=0, m=3)","Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`, `m`."
mmap.write_byte(byte),Write the integer `byte` into memory at the current position of the file pointer ; the file position is advanced by 1 .
select.kevent(ident),( Only supported on BSD . ) With arguments `ident`.
"connection.backup(target, pages=0, name=""main"")","This method makes a backup of a SQLite database even while it ’ s being accessed by other clients , or concurrently by the same connection . The copy will be written into the mandatory argument `target` , that must be another Connection instance . By default , or when `pages` is either 0 or a negative integer , the entire database is copied in a single step ; otherwise the method performs a loop copying up to pages pages at a time . The `name` argument specifies the database name that will be copied : it must be a string containing either `` main '' , the default , to indicate the main database , `` temp '' to indicate the temporary database or the name specified after the AS keyword in an ATTACH DATABASE statement for an attached database ."
unittest.TestSuite(tests=()),"This class represents an aggregation of individual test cases and test suites . If `tests` is given , it must be an iterable of individual test cases or other test suites that will be used to build the suite initially ."
"urllib.request.urlopen(url, data=None)","Open the URL `url` , which can be either a string or a Request object . `data` must be an object specifying additional data to be sent to the server , or None if no such data is needed ."
"collections.deque(iterable, maxlen)","Returns a new deque object initialized left-to-right ( using append ( ) ) with data from `iterable` . If `maxlen` is not specified or is None , deques may grow to an arbitrary length ."
"difflib.context_diff(a, b, n=3)",Compare `a` and `b` ( lists of strings ) ; return a delta ( a generator generating the delta lines ) in context diff format . The number of context lines is set by `n` which defaults to three .
mmap.find(sub),"Returns the lowest index in the object where the subsequence `sub` is found , such that sub is contained in the range [ `start` , `end` ] ."
